Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound,Age Group,Latitude,Longitude
Iran (Islamic Republic of),2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",0.54611508458,0.33263631912,0.8162271462199999,50-69,32.4279,53.688
Iran (Islamic Republic of),2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",0.5545130380500001,0.3370247839099999,0.82980318937,50-69,32.4279,53.688
Iraq,2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",0.45648207868,0.26533557601,0.70063513975,50-69,33.223191,43.679291
Iraq,2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",0.45548757466,0.26902800984,0.69746495897,50-69,33.223191,43.679291
Jordan,2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",0.48693599657,0.28528919947,0.74470532395,50-69,30.5852,36.2384
Jordan,2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",0.4611057392,0.26441768862,0.69602393041,50-69,30.5852,36.2384
Kuwait,2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",0.60484535421,0.35874805279,0.91554415884,50-69,29.3759,47.9774
Kuwait,2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",0.60235895441,0.35260501148,0.93100259306,50-69,29.3759,47.9774
Lebanon,2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",0.50728225051,0.30559705154,0.76011630558,50-69,33.8547,35.8623
Lebanon,2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",0.50037184073,0.28764456135,0.7430063354299999,50-69,33.8547,35.8623
Libya,2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",0.4434544923899999,0.2682958608,0.66311968471,50-69,26.3351,17.2283
Libya,2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",0.42138295596,0.25055271545,0.62980235488,50-69,26.3351,17.2283
Morocco,2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",0.44624290378,0.2636918474,0.67936990963,50-69,31.7917,-7.0926
Morocco,2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",0.40842660896,0.2438398577,0.62290959251,50-69,31.7917,-7.0926
Oman,2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",0.41168149931,0.23677607572,0.6385086438199999,50-69,21.4735,55.9754
Oman,2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",0.84273682095,0.53769808827,1.22507944805,50-69,21.4735,55.9754
Palestine,2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",0.4449194145,0.26251061554,0.69847420338,50-69,31.9474,35.2272
Palestine,2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",0.4423852233799999,0.25739621256,0.69382053067,50-69,31.9474,35.2272
Qatar,2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",0.57962412113,0.32021091279,0.909711209,50-69,25.3548,51.1839
Qatar,2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",0.54119765045,0.31156183419,0.8351018752299999,50-69,25.3548,51.1839
Saudi Arabia,2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",0.43600465704,0.2554783587099999,0.66433057241,50-69,23.8859,45.0792
Saudi Arabia,2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",0.3990185253999999,0.2332703461899999,0.6204574445000001,50-69,23.8859,45.0792
Sudan,2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",0.31169754646,0.18358914472,0.48465207788,50-69,12.8628,30.2176
Sudan,2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",0.29348537072,0.17138822401,0.4528068892899999,50-69,12.8628,30.2176
Syrian Arab Republic,2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",0.45883479094,0.27896256846,0.68896050295,50-69,34.802075,38.996815
Syrian Arab Republic,2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",0.45232165796,0.26246327716,0.69135986607,50-69,34.802075,38.996815
Tunisia,2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",0.5168967058,0.31382853456,0.78891147122,50-69,33.8869,9.5375
Tunisia,2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",0.52776444131,0.30682993643,0.8008588115399999,50-69,33.8869,9.5375
Türkiye,2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",1.33764715687,0.85699504248,1.92157310435,50-69,38.9637,35.2433
Türkiye,2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",1.13154683555,0.72363000497,1.62173592831,50-69,38.9637,35.2433
United Arab Emirates,2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",0.56712325052,0.33703221485,0.8554014506800001,50-69,23.4241,53.8478
United Arab Emirates,2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",0.54825213481,0.3314649988399999,0.82149305012,50-69,23.4241,53.8478
Yemen,2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",0.29330744884,0.17145608163,0.45238980077,50-69,15.552727,48.516388
Yemen,2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",0.27433763308,0.16105352661,0.4242808155899999,50-69,15.552727,48.516388
Afghanistan,2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",542.32810256409,185.08598216724,1042.93053217043,50-69,33.93911,67.709953
Afghanistan,2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",913.50087681908,254.59133519716,1777.99325114666,50-69,33.93911,67.709953
Algeria,2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",541.46514855397,193.14767790242,1030.44137247422,50-69,28.033886,1.659626
Algeria,2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",896.7315279205,266.40755929913,1786.0430798352402,50-69,28.033886,1.659626
Bahrain,2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",547.4633080121,183.37470234397,1060.32845462868,50-69,26.0667,50.5577
Bahrain,2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",894.93917082164,262.18188323268004,1778.2680545104402,50-69,26.0667,50.5577
Egypt,2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",518.26955781634,181.82642336091,1012.20399910175,50-69,26.820553,30.802498
Egypt,2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",896.8995923786599,266.29347214193,1764.84863872671,50-69,26.820553,30.802498
Iran (Islamic Republic of),2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",636.91937583399,221.18677307443,1214.96369330066,50-69,32.4279,53.688
Iran (Islamic Republic of),2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",1002.51398532413,276.38829529108,2063.25647189683,50-69,32.4279,53.688
Iraq,2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",530.90954256924,186.99668492102,1028.38463106593,50-69,33.223191,43.679291
Iraq,2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",887.6054467604699,263.5409373197,1758.06243666893,50-69,33.223191,43.679291
Jordan,2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",549.11549259949,186.7706748254,1063.91355238556,50-69,30.5852,36.2384
Jordan,2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",899.45611422143,262.49200628901,1772.73272235728,50-69,30.5852,36.2384
Kuwait,2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",528.06174361764,160.91040754675,1082.34989744239,50-69,29.3759,47.9774
Kuwait,2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",898.53383377705,265.11226307869,1781.0239162910802,50-69,29.3759,47.9774
Lebanon,2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",527.75312373167,181.05891913411,1008.30031860166,50-69,33.8547,35.8623
Lebanon,2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",878.1843506404499,258.76297253548,1712.03866610819,50-69,33.8547,35.8623
Libya,2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",546.66717089369,187.91635001263,1060.70556735656,50-69,26.3351,17.2283
Libya,2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",910.43149613994,261.96788713384,1755.41574742358,50-69,26.3351,17.2283
Morocco,2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",534.0284618394201,183.47919937381,1022.24188264204,50-69,31.7917,-7.0926
Morocco,2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",878.25851252358,257.08590213939,1731.5773458576998,50-69,31.7917,-7.0926
Oman,2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",556.06349410453,190.29749227082,1076.89331008817,50-69,21.4735,55.9754
Oman,2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",905.27141448904,263.63966980005,1792.70748617457,50-69,21.4735,55.9754
Palestine,2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",539.56728259761,187.07793077874,1046.14950944668,50-69,31.9474,35.2272
Palestine,2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",898.0273349207099,267.06889917911,1772.9639596749,50-69,31.9474,35.2272
Qatar,2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",560.89835767177,189.94619690519,1076.78472277003,50-69,25.3548,51.1839
Qatar,2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",917.06150434555,258.84429415838,1832.77897200146,50-69,25.3548,51.1839
Saudi Arabia,2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",556.63631729485,193.15238696092,1098.39005289185,50-69,23.8859,45.0792
Saudi Arabia,2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",865.13318057512,273.20015890748004,1656.00191181193,50-69,23.8859,45.0792
Sudan,2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",546.35239369985,188.16350778846,1058.5968495242,50-69,12.8628,30.2176
Sudan,2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",913.06813714922,267.55188665272,1811.72384664934,50-69,12.8628,30.2176
Syrian Arab Republic,2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",543.73555119656,183.16810599995,1048.08360873249,50-69,34.802075,38.996815
Syrian Arab Republic,2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",898.7470477525799,257.39833093865,1729.6112837260898,50-69,34.802075,38.996815
Tunisia,2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",534.35113910384,182.4813647717,1033.05314763325,50-69,33.8869,9.5375
Tunisia,2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",880.1339188198001,262.86306311236,1745.26990997527,50-69,33.8869,9.5375
Türkiye,2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",509.03170931862,184.36870306562,965.07496883826,50-69,38.9637,35.2433
Türkiye,2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",925.28838980403,287.21263083972,1788.01538636809,50-69,38.9637,35.2433
United Arab Emirates,2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",564.21553182177,192.21008421932,1092.39547493656,50-69,23.4241,53.8478
United Arab Emirates,2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",925.85980153456,267.75050900849004,1862.59123695363,50-69,23.4241,53.8478
Yemen,2021.0,50-69 years,Male,Headache disorders,"YLDs per 100,000",542.4061466957,183.2654426982,1027.05553476091,50-69,15.552727,48.516388
Yemen,2021.0,50-69 years,Female,Headache disorders,"YLDs per 100,000",888.6043839870799,262.52366318058,1733.17783516857,50-69,15.552727,48.516388
Afghanistan,2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",21.00387310747,12.98504514255,31.983131734750003,50-69,33.93911,67.709953
Afghanistan,2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",35.73168099557,19.26460275132,58.67682635994,50-69,33.93911,67.709953
Algeria,2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",23.94094376815,15.48452167669,33.97009479267,50-69,28.033886,1.659626
Algeria,2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",29.0429060115,18.92063313965,40.22459694511,50-69,28.033886,1.659626
Bahrain,2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",26.66208873882,15.88812326775,42.1753642313,50-69,26.0667,50.5577
Bahrain,2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",30.5459883552,18.75128252845,45.39921435598,50-69,26.0667,50.5577
Egypt,2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",26.43608356871,15.95410624322,41.073009117880005,50-69,26.820553,30.802498
Egypt,2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",28.52643232033,17.37965334807,42.71558213897,50-69,26.820553,30.802498
Iran (Islamic Republic of),2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",25.797056205430003,17.5858042951,34.0860237806,50-69,32.4279,53.688
Iran (Islamic Republic of),2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",30.24011391795,20.95278935092,39.76608119419,50-69,32.4279,53.688
Iraq,2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",23.20673601789,14.58073090048,33.22523865409,50-69,33.223191,43.679291
Iraq,2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",26.8837556007,17.44954068529,37.0383018803,50-69,33.223191,43.679291
Jordan,2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",22.8124293565,14.180406454060002,32.73856567969,50-69,30.5852,36.2384
Jordan,2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",27.88766372337,18.38417552911,39.34679227116,50-69,30.5852,36.2384
Kuwait,2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",25.120499861240003,15.0980366234,37.13888907505,50-69,29.3759,47.9774
Kuwait,2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",29.40703187598,18.15179205555,42.30198575057,50-69,29.3759,47.9774
Lebanon,2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",24.48791428882,15.46763225763,35.41482246804,50-69,33.8547,35.8623
Lebanon,2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",30.42119486937,19.69576743412,42.033548189040005,50-69,33.8547,35.8623
Libya,2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",23.76250584532,15.32536494934,34.79282873687,50-69,26.3351,17.2283
Libya,2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",27.733945157980003,18.03224799379,39.32465226595,50-69,26.3351,17.2283
Morocco,2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",26.81247325961,16.683056662730003,40.69661571494,50-69,31.7917,-7.0926
Morocco,2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",27.80349956614,18.36508488977,39.07873474124,50-69,31.7917,-7.0926
Oman,2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",24.2682509555,14.83557556206,36.10116985927,50-69,21.4735,55.9754
Oman,2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",28.44355785632,18.6285579619,40.84631806694,50-69,21.4735,55.9754
Palestine,2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",24.24946545762,15.38600449091,34.70429483578,50-69,31.9474,35.2272
Palestine,2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",27.78040521475,17.85749000491,38.98471066918,50-69,31.9474,35.2272
Qatar,2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",25.00879224101,15.93587810335,37.70921798849,50-69,25.3548,51.1839
Qatar,2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",34.02698388124,22.10212894844,48.72396101618,50-69,25.3548,51.1839
Saudi Arabia,2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",31.026804292900003,16.39788180559,51.39858679534,50-69,23.8859,45.0792
Saudi Arabia,2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",35.0922596336,20.02714264395,56.34363196287,50-69,23.8859,45.0792
Sudan,2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",22.75189297038,14.04589482394,32.96929497429,50-69,12.8628,30.2176
Sudan,2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",25.39360585967,15.78058515882,35.78929857653,50-69,12.8628,30.2176
Syrian Arab Republic,2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",21.72026416129,13.889836785860002,30.87491296683,50-69,34.802075,38.996815
Syrian Arab Republic,2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",26.49523601402,17.009474426369998,36.17128183177,50-69,34.802075,38.996815
Tunisia,2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",23.8111571925,15.679392322420002,34.51407311184,50-69,33.8869,9.5375
Tunisia,2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",29.20868326407,20.035295981620003,40.17597345199,50-69,33.8869,9.5375
Türkiye,2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",29.12163684248,17.41987683563,42.835989279020005,50-69,38.9637,35.2433
Türkiye,2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",32.16602152293,20.45973964778,44.89062188391,50-69,38.9637,35.2433
United Arab Emirates,2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",31.43454067331,17.10601597377,53.14328323253,50-69,23.4241,53.8478
United Arab Emirates,2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",30.5903586637,18.13953954813,48.24118166187,50-69,23.4241,53.8478
Yemen,2021.0,50-69 years,Male,Other neurological disorders,"YLDs per 100,000",22.08026082008,14.52892297707,31.22409885805,50-69,15.552727,48.516388
Yemen,2021.0,50-69 years,Female,Other neurological disorders,"YLDs per 100,000",25.21988970905,16.65906954995,35.41094054305,50-69,15.552727,48.516388
"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2021. Seattle, WA: IHME, University of Washington, 2023. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 7/25/2024).",,,,,,,,,50-69,0.0,0.0
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions",,,,,,,,,50-69,0.0,0.0
Afghanistan,2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",1489.00917051209,1044.85176841782,1968.50233527806,70+,33.93911,67.709953
Afghanistan,2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",1872.39093890115,1289.33026920011,2523.5832010002,70+,33.93911,67.709953
Algeria,2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",1528.37260546807,1039.58542773464,2060.14382420161,70+,28.033886,1.659626
Algeria,2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",1993.0392733748,1359.33491675939,2699.5591294138003,70+,28.033886,1.659626
Bahrain,2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",1127.28382096628,762.03669062879,1537.74590569453,70+,26.0667,50.5577
Bahrain,2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",1804.59136907707,1247.70696983909,2428.57973306478,70+,26.0667,50.5577
Egypt,2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",1455.26478401487,992.68246926665,1947.89322784114,70+,26.820553,30.802498
Egypt,2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",1535.52407554226,1049.08614485815,2094.2938195789297,70+,26.820553,30.802498
Iran (Islamic Republic of),2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",1804.4631596819,1230.8207825378,2425.50730782685,70+,32.4279,53.688
Iran (Islamic Republic of),2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",2243.71242453741,1539.3054439611,3026.71725939324,70+,32.4279,53.688
Iraq,2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",1367.20090972089,947.03102427424,1829.50311315901,70+,33.223191,43.679291
Iraq,2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",2060.47826913496,1423.28078645919,2768.86062743801,70+,33.223191,43.679291
Jordan,2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",1570.93694615282,1090.91891375518,2090.34142504489,70+,30.5852,36.2384
Jordan,2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",1997.55585994251,1361.85643753695,2734.3470782722898,70+,30.5852,36.2384
Kuwait,2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",1858.02274408074,1284.41040794024,2467.01664957277,70+,29.3759,47.9774
Kuwait,2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",2656.82866728266,1861.32742915726,3498.00361808416,70+,29.3759,47.9774
Lebanon,2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",1929.80177452349,1338.90830728054,2563.29782323424,70+,33.8547,35.8623
Lebanon,2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",2797.6114277072,1925.5472147128,3712.38640692031,70+,33.8547,35.8623
Libya,2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",1674.36470126796,1145.76004731166,2233.7914662653097,70+,26.3351,17.2283
Libya,2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",2306.3244131015103,1587.3856764000702,3086.84925401806,70+,26.3351,17.2283
Morocco,2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",1520.54833145883,1057.47300634893,2030.9997334601,70+,31.7917,-7.0926
Morocco,2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",2165.07251159525,1488.49532055498,2922.12566201864,70+,31.7917,-7.0926
Oman,2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",1250.29214235403,865.05634682848,1684.58911534378,70+,21.4735,55.9754
Oman,2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",1960.60239900544,1338.57607520613,2667.00643045195,70+,21.4735,55.9754
Palestine,2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",1331.34089467592,922.91006147454,1794.20858236874,70+,31.9474,35.2272
Palestine,2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",2173.10157294067,1488.70470976996,2891.01548411863,70+,31.9474,35.2272
Qatar,2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",1278.2733836414,880.38845207164,1713.870773107,70+,25.3548,51.1839
Qatar,2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",1951.50478009326,1354.67573743356,2615.42940629692,70+,25.3548,51.1839
Saudi Arabia,2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",1193.53553940661,824.9367125937299,1644.22155445709,70+,23.8859,45.0792
Saudi Arabia,2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",1854.02597948872,1283.6590952075398,2485.08325040927,70+,23.8859,45.0792
Sudan,2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",1490.0971692457902,1015.64680779606,1993.6602851907,70+,12.8628,30.2176
Sudan,2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",2099.79445348544,1449.45901011951,2836.31270079185,70+,12.8628,30.2176
Syrian Arab Republic,2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",1525.73304462148,1052.69178922961,2040.46269920096,70+,34.802075,38.996815
Syrian Arab Republic,2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",1850.79917036116,1258.52527016008,2554.02129488366,70+,34.802075,38.996815
Tunisia,2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",1561.19386407412,1085.24547940795,2071.67774687798,70+,33.8869,9.5375
Tunisia,2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",2389.14002208489,1653.00964110858,3159.27987449189,70+,33.8869,9.5375
Türkiye,2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",1665.50993744051,1159.81076756648,2248.7627476831603,70+,38.9637,35.2433
Türkiye,2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",2417.70408640259,1676.2623108105502,3228.71941554186,70+,38.9637,35.2433
United Arab Emirates,2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",988.79386776652,651.69048409401,1352.05354891923,70+,23.4241,53.8478
United Arab Emirates,2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",1130.03991894664,762.91870690611,1568.7566107393002,70+,23.4241,53.8478
Yemen,2021.0,70+ years,Male,Alzheimer's disease and other dementias,"YLDs per 100,000",1449.59788277823,1005.63104082783,1934.76017197345,70+,15.552727,48.516388
Yemen,2021.0,70+ years,Female,Alzheimer's disease and other dementias,"YLDs per 100,000",2070.3877144214,1410.5543962135698,2814.2042687478297,70+,15.552727,48.516388
Afghanistan,2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",135.59995217222,88.88548226161001,190.59056929602,70+,33.93911,67.709953
Afghanistan,2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",76.35855821612999,49.83668148644,112.13765857497,70+,33.93911,67.709953
Algeria,2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",178.78358812336,115.61707696442,252.98159069448,70+,28.033886,1.659626
Algeria,2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",96.67219552246,60.64427474012,140.83818845307,70+,28.033886,1.659626
Bahrain,2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",186.92906502657,122.49059154391,270.95246142409,70+,26.0667,50.5577
Bahrain,2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",119.97143271937,77.99535873832001,175.0061409332,70+,26.0667,50.5577
Egypt,2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",215.71851835933,141.86472116626,295.26795848974,70+,26.820553,30.802498
Egypt,2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",143.26725916645,93.83764646912,209.58943237977,70+,26.820553,30.802498
Iran (Islamic Republic of),2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",204.49214925572,144.31987327835,280.61224219041003,70+,32.4279,53.688
Iran (Islamic Republic of),2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",112.25452969153,78.03128518119,154.03493905851,70+,32.4279,53.688
Iraq,2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",193.38838658726,125.13729591617,274.68296465678,70+,33.223191,43.679291
Iraq,2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",88.60605067634,57.49176212672,130.74244519984,70+,33.223191,43.679291
Jordan,2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",137.02166484525,94.44715028917,189.18775533558,70+,30.5852,36.2384
Jordan,2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",80.85636804127999,54.02350297211,115.25582978049,70+,30.5852,36.2384
Kuwait,2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",177.50096321011,113.70421891437,261.00416037578,70+,29.3759,47.9774
Kuwait,2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",106.62665153657,65.74477728504,151.74757262281,70+,29.3759,47.9774
Lebanon,2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",187.90523975792,125.64727923766,262.30510187637003,70+,33.8547,35.8623
Lebanon,2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",110.85551509332,73.52370349964,154.28535626585,70+,33.8547,35.8623
